TS,C1:M200.r2521[0],C2:M200.r2665,C3:M200.r78[0],Label
2020-08-04 13:36:11.776858,44995.0,45000.0,-0.8647549999999999,1
2020-08-04 13:36:11.782463,44995.0,45000.0,-0.876605,1
2020-08-04 13:36:11.788467,44995.0,45000.0,-0.854377,1
2020-08-04 13:36:11.794539,44995.0,45000.0,-0.9001620000000001,1
2020-08-04 13:36:11.800374,44995.0,45000.0,-0.869332,1
2020-08-04 13:36:11.805457,44995.0,45000.0,-0.8991459999999999,1
2020-08-04 13:36:11.811371,44995.0,45000.0,-0.910379,1
2020-08-04 13:36:11.816728,44995.0,45000.0,-0.974267,1
2020-08-04 13:36:11.822729,44995.0,45000.0,-0.9226059999999999,1
2020-08-04 13:36:11.828579,44995.0,45000.0,-0.9798629999999999,1
2020-08-04 13:36:11.833597,44995.0,45000.0,-1.005974,1
2020-08-04 13:36:11.839596,44995.0,45000.0,-0.9969959999999999,1
2020-08-04 13:36:11.844656,44995.0,45000.0,-1.029875,1
2020-08-04 13:36:11.850634,44995.0,45000.0,-1.024513,1
2020-08-04 13:36:11.856579,44995.0,45000.0,-0.997233,1
2020-08-04 13:36:11.861581,44995.0,45000.0,-1.0715729999999999,1
2020-08-04 13:36:11.867577,44995.0,45000.0,-1.0632270000000001,1
2020-08-04 13:36:11.873576,44995.0,45000.0,-1.116112,1
2020-08-04 13:36:11.878576,44995.0,45000.0,-1.040776,1
2020-08-04 13:36:11.884576,44995.0,45000.0,-1.089656,1
2020-08-04 13:36:11.889576,44995.0,45000.0,-1.099183,1
2020-08-04 13:36:11.894577,44995.0,45000.0,-1.1070799999999998,1
2020-08-04 13:36:11.900576,44995.0,45000.0,-1.094123,1
2020-08-04 13:36:11.906576,44995.0,45000.0,-1.087719,1
2020-08-04 13:36:11.911576,44995.0,45000.0,-1.1565590000000001,1
2020-08-04 13:36:11.917577,44995.0,45000.0,-1.1814149999999999,1
2020-08-04 13:36:11.922577,44995.0,45000.0,-1.151684,1
2020-08-04 13:36:11.927578,44995.0,45000.0,-1.192342,1
2020-08-04 13:36:11.932606,44995.0,45000.0,-1.224285,1
2020-08-04 13:36:11.938579,44995.0,45000.0,-1.139443,1
2020-08-04 13:36:11.943580,44995.0,45000.0,-1.200321,1
2020-08-04 13:36:11.949578,44995.0,45000.0,-1.20736,1
2020-08-04 13:36:11.955577,44996.0,45000.0,-1.219422,1
2020-08-04 13:36:11.960591,44996.0,45000.0,-1.268951,1
2020-08-04 13:36:11.966588,44996.0,45000.0,-1.219088,1
2020-08-04 13:36:11.972576,44996.0,45000.0,-1.225774,1
2020-08-04 13:36:11.977580,44996.0,45000.0,-1.263952,1
2020-08-04 13:36:11.983577,44996.0,45000.0,-1.3062120000000002,1
2020-08-04 13:36:11.988582,44996.0,45000.0,-1.250167,1
2020-08-04 13:36:11.994577,44996.0,45000.0,-1.2654299999999998,1
2020-08-04 13:36:12.000578,44996.0,45000.0,-1.289467,1
2020-08-04 13:36:12.005579,44996.0,45000.0,-1.24709,1
2020-08-04 13:36:12.010609,44996.0,45000.0,-1.258995,1
2020-08-04 13:36:12.016608,44996.0,45000.0,-1.2949469999999998,1
2020-08-04 13:36:12.022613,44996.0,45000.0,-1.2629540000000001,1
2020-08-04 13:36:12.028578,44996.0,45000.0,-1.295716,1
2020-08-04 13:36:12.033582,44997.0,45000.0,-1.313172,1
2020-08-04 13:36:12.038663,44997.0,45000.0,-1.222176,1
2020-08-04 13:36:12.043670,44997.0,45000.0,-1.345185,1
2020-08-04 13:36:12.049590,44997.0,45000.0,-1.350547,1
2020-08-04 13:36:12.054602,44997.0,45000.0,-1.359424,1
2020-08-04 13:36:12.060609,44997.0,45000.0,-1.368152,1
2020-08-04 13:36:12.065620,44997.0,45000.0,-1.393735,1
2020-08-04 13:36:12.070740,44997.0,45000.0,-1.333869,1
2020-08-04 13:36:12.076592,44997.0,45000.0,-1.438366,1
2020-08-04 13:36:12.081737,44997.0,45000.0,-1.399189,1
2020-08-04 13:36:12.087663,44998.0,45000.0,-1.415167,1
2020-08-04 13:36:12.093590,44998.0,45000.0,-1.4398360000000001,1
2020-08-04 13:36:12.098594,44998.0,45000.0,-1.412684,1
2020-08-04 13:36:12.103661,44998.0,45000.0,-1.5315530000000002,1
2020-08-04 13:36:12.108662,44998.0,45000.0,-1.4685190000000001,1
2020-08-04 13:36:12.114589,44998.0,45000.0,-1.556258,1
2020-08-04 13:36:12.119832,44999.0,45000.0,-1.509909,1
